Tournament/Split,League,Date,Game,Map,Team 1,Team 2,T1A1,T1A1P,T1A2,T1A2P,T1A3,T1A3P,T1A4,T1A4P,T1A5,T1A5P,T2A1,T2A1P,T2A2,T2A2P,T2A3,T2A3P,T2A4,T2A4P,T2A5,T2A5P,Winner,Loser
Champions Tour 2025: China Kickoff Round 1,China,"Jan 11, 2025",1,Fracture,TYL,TEC,Brimstone,5CM,Killjoy,Ninebody,Breach,hfmi0dzjc9z7,Sova,slowly,Raze,Eren,Brimstone,Haodong,Killjoy,Abo,Breach,B1ack,Fade,Rb,Raze,Dynamite,TEC,TYL
Champions Tour 2025: China Kickoff Round 1,China,"Jan 11, 2025",2,Abyss,TYL,TEC,Omen,5CM,Astra,slowly,Jett,Ninebody,Sova,hfmi0dzjc9z7,Yoru,Eren,Omen,Haodong,Cypher,Abo,KAY/O,B1ack,Sova,Rb,Jett,Dynamite,TEC,TYL
Champions Tour 2025: China Kickoff Round 1,China,"Jan 11, 2025",1,Lotus,XLG,WOL,Omen,happywei,Cypher,Viva,Breach,YOU,Sova,coconut,Neon,Rarga,Omen,Juicy,Vyse,Lysoar,Breach,Yuicaw,Fade,SiuFatBB,Raze,Spring,XLG,WOL
Champions Tour 2025: China Kickoff Round 1,China,"Jan 11, 2025",2,Split,XLG,WOL,Omen,coconut,Cypher,happywei,Viper,Viva,Skye,YOU,Raze,Rarga,Omen,Juicy,Cypher,Yuicaw,Vyse,Lysoar,Skye,SiuFatBB,Raze,Spring,XLG,WOL
Champions Tour 2025: China Kickoff Round 1,China,"Jan 12, 2025",1,Abyss,JDG,DRG,Omen,MrCANI,Astra,Z1yan,Jett,stew,Sova,Babyblue,Yoru,jkuro,Omen,vo0kashu,Astra,Flex1n,KAY/O,Nicc,Sova,SpiritZ1,Jett,TvirusLuke,DRG,JDG
Champions Tour 2025: China Kickoff Round 1,China,"Jan 12, 2025",2,Haven,JDG,DRG,Omen,jkuro,Cypher,Z1yan,Breach,MrCANI,Sova,Babyblue,Neon,stew,Omen,Flex1n,Cypher,vo0kashu,Breach,Nicc,Sova,SpiritZ1,Jett,TvirusLuke,JDG,DRG
Champions Tour 2025: China Kickoff Round 1,China,"Jan 12, 2025",3,Bind,JDG,DRG,Brimstone,jkuro,Cypher,Z1yan,Deadlock,Babyblue,Skye,MrCANI,Neon,stew,Brimstone,Flex1n,Vyse,vo0kashu,Deadlock,SpiritZ1,KAY/O,Nicc,Raze,TvirusLuke,DRG,JDG
Champions Tour 2025: China Kickoff Round 1,China,"Jan 12, 2025",1,Abyss,AG,NOVA,Omen,nizhaoTZH,Astra,Lsn,Jett,K1ra,Sova,monk,Yoru,deLb,Astra,Ezeir,Cypher,GuanG,KAY/O,o0o0o,Sova,CB,Jett,SWERL,NOVA,AG
Champions Tour 2025: China Kickoff Round 1,China,"Jan 12, 2025",2,Bind,AG,NOVA,Brimstone,nizhaoTZH,Vyse,deLb,KAY/O,Lsn,Gekko,monk,Raze,K1ra,Brimstone,Ezeir,Vyse,GuanG,Deadlock,CB,Skye,o0o0o,Raze,SWERL,NOVA,AG
Champions Tour 2025: EMEA Kickoff Round 1,EMEA,"Jan 15, 2025",1,Lotus,BBL,GX,Omen,PROFEK,Cypher,vakk,Breach,Jamppi,Fade,sociablEE,Raze,LewN,Omen,tomaszy,Vyse,runneR,Viper,westside,Fade,Cloud,Raze,purp0,BBL,GX
